lineID,CamerID,Latitude,Longitude
1,CC03,33.28647,-83.50986
2,CC04,33.29724063,-83.51969229
3,CC05,33.29573,-83.47867
4,CC06,33.30097,-83.47115
5,CC07,33.29345,-83.49395
6,CC08,33.30659,-83.44948
7,CC09,33.29631,-83.44203
8,CC10,33.30191,-83.44094
9,CC11,33.2575,-83.53909
10,CC12,33.27363,-83.52883
11,CC13,33.26227,-83.51172
12,CC14,33.26887,-83.5215
13,CC15,33.27239657,-83.5013509
14,CC16,33.26447,-83.4782
15,CC17,33.25202,-83.52106
16,CC18,33.24433768,-83.52217442
17,CC19,33.24606,-83.50984
18,CC20,33.22928,-83.53827
19,CC21,33.24792,-83.49682
20,CC22,33.24429,-83.4492
21,CC23,33.23373,-83.47172
22,CC24,33.23923,-83.47924
23,CC25,33.23119,-83.4414
24,CC26,33.21634,-83.45693
25,CC27,33.20628288,-83.47491662
26,CC28,33.21027,-83.48655
27,CC29,33.21647,-83.50849
28,CC30,33.20147,-83.49819
29,CC31,33.17982,-83.45468
30,CC32,33.18247,-83.47283
31,CC33,33.16069,-83.46597
32,CC34,33.20797261,-83.55289656
33,CC35,33.21735,-83.53767
34,CC36,33.22638,-83.52254
35,CC38,33.1946,-83.55347
36,CC39,33.1797,-83.54408
37,CC40,33.19493,-83.56324
38,CC41,33.18814,-83.51921
39,CC42,33.19958,-83.51458
40,CC43,33.1915,-83.49611
41,CC44,33.17636,-83.46915
42,CC45,33.16982,-83.4914
43,CC46,33.16161,-83.49899
44,CC47,33.17061375,-83.47550363
45,CC48,33.15083,-83.50222
46,CC49,33.16217258,-83.51385929
47,CC50,33.15931,-83.53122
48,CC51,33.1732818,-83.51949986
49,CC52,33.14962,-83.5284
50,CC53,33.16922,-83.60966
51,CC54,33.14891,-83.61238
52,CC55,33.16293718,-83.59716576
53,CC56,33.14178,-83.6078
54,CC57,33.12858,-83.59524
55,CC58,33.13339,-83.5893
56,CC59,33.14988031,-83.56042831
57,CC60,33.13568,-83.54574
58,CC61,33.14834,-83.51546
59,CC62,33.12282691,-83.51084136
60,CC63,33.12224,-83.49062
61,CC64,33.15403,-83.46764
62,CC65,33.1496,-83.54916
63,CC66,33.24076,-83.45099
64,CC67,33.12993231,-83.52561277
65,CC68,33.18318602,-83.45311557
66,CC69,33.17988809,-83.44719785
67,EB01,33.21835112,-83.56165043
68,EB02,33.22309402,-83.55761963
69,SA01,33.15712316,-83.55269773
70,SA02,33.16028487,-83.55444921
71,SG01,33.23018201,-83.54851016
72,SG02,33.23037153,-83.54415672
73,BFG01,33.43024,-83.5247
74,BFG02,33.44765,-83.47776
75,BFG03,33.44049,-83.48854
76,BFG04,33.41533,-83.49451
77,BFG05,33.42294,-83.48815
78,BFG06,33.40567,-83.47715
79,BFG07,33.40528,-83.51786
80,BFG08,33.41199,-83.52348
81,BFG09,33.42576,-83.46912
82,BFG10,33.41275,-83.47231
83,BFG11,33.43756,-83.47234
84,BFG12,33.45175,-83.44973
85,BFG13,33.4439,-83.45123
86,BFG14,33.43392,-83.45721
87,BFG15,33.43666,-83.42789
88,BFG16,33.40433,-83.47034
89,BFG17,33.41002,-83.45954
90,BFG18,33.39336,-83.45618
91,BFG19,33.39045,-83.46605
92,BFG20,33.38612,-83.48001
93,BFG21,33.39741,-83.49783
94,BFG22,33.38376,-83.49389
95,BFG23,33.41594,-83.49297
96,BFG24,33.43712,-83.4912
97,BFG25,33.40856,-83.5274
98,BFG26,33.425242,-83.461042
99,BFG27,33.407951,-83.507329
100,CC71,,
101,Griffin01,33.230182,-83.54851
102,Byers02,33.223094,-83.55762
103,Byers01,33.218351,-83.56165
104,CD01,33.385996,-83.463